Country code,Country name,Indicator 6: Bilateral migration data coupled with climate vulnerability index
ABW,Aruba,0.20252131370821
AFG,Afghanistan,
AGO,Angola,0.303013528946093
ALB,Albania,0.248004964888592
ANT,Netherlands Antilles,0.306335959203823
ARE,United Arab Emirates,0.418281420443227
ARG,Argentina,0.276220788600546
ARM,Armenia,0.289076807515066
ATG,Antigua and Barbuda,0.327185313016442
AUS,Australia,0.269157615254685
AUT,Austria,0.224770443432128
AZE,Azerbaijan,0.119031746718278
BDI,Burundi,0.494441653457934
BEL,Belgium,0.256097844461188
BEN,Benin,0.440056741065504
BFA,Burkina Faso,0.491262058713339
BGD,Bangladesh,0.423262228446602
BGR,Bulgaria,0.25389842085302
BHR,Bahrain,0.390029030474851
BHS,Bahamas,0.41681630364123
BIH,Bosnia and Herzegovina,0.074686519632591
BLR,Belarus,0.253025037154881
BLZ,Belize,0.340398186511411
BMU,Bermuda,0.142637950077115
BOL,Bolivia,0.282267364769752
BRA,Brazil,0.257791995139559
BRB,Barbados,0.258598823020849
BRN,Brunei Darussalam,0.32613383828559
BTN,Bhutan,0.417966635227694
BVT,Bouvet Island,
BWA,Botswana,
CAF,Central African Republic,0.525365346474857
CAN,Canada,0.292935168223008
CHE,Switzerland,0.195728111648653
CHL,Chile,0.283478490320451
CHN,China,0.279597648889413
CIV,Cote d'Ivoire,0.523996154384905
CMR,Cameroon,0.403881919659218
COD,Democratic Republic of the Congo,
COG,Congo,0.506312550141956
COL,Colombia,0.25832911562565
COM,Comoros,0.45779081423819
CPV,Cape Verde,0.406096358846708
CRI,Costa Rica,0.316284235247496
CUB,Cuba,0.211843864835549
CYM,Cayman Islands,0.30296719858035
CYP,Cyprus,0.258947196793366
CZE,Czech Republic,0.205503063426593
DEU,Germany,0.238840246533656
DJI,Djibouti,0.480864558660223
DMA,Dominica,0.088451945602072
DNK,Denmark,0.291691682585663
DOM,Dominican Republic,0.440830115714277
DZA,Algeria,
ECU,Ecuador,0.240383778685162
EGY,Egypt,0.336836242214463
ERI,Eritrea,
ESP,Spain,0.286111506835413
EST,Estonia,0.266111001207626
ETH,Ethiopia,0.457737192973581
FIN,Finland,0.220245809308706
FJI,Fiji,0.317772114041793
FRA,France,0.305328219803727
FRO,Faroe Islands,0.143002971336209
FSM,"Micronesia, Federated States of",0.074321745428297
GAB,Gabon,0.410668951588209
GBR,United Kingdom,0.320074388358369
GEO,Georgia,0.280197869015953
GHA,Ghana,
GIN,Guinea,0.561369834929109
GMB,Gambia,0.475504892254878
GNB,Guinea-Bissau,0.433526437817286
GNQ,Equatorial Guinea,0.248524954861402
GRC,Greece,0.307620768018291
GRD,Grenada,
GTM,Guatemala,0.322967894539667
GUY,Guyana,0.236543844562163
HKG,Hong Kong,0.253713997370092
HND,Honduras,0.313402856595296
HRV,Croatia,0.22312521349933
HTI,Haiti,0.241480201150333
HUN,Hungary,0.184611858855958
IDN,Indonesia,0.199129391620555
IND,India,0.462010765951376
IRL,Ireland,0.217749349575107
IRN,Iran (Islamic Republic of),0.551259344426191
IRQ,Iraq,0.289199230203539
ISL,Iceland,0.201262363559658
ISR,Israel,0.278252904398204
ITA,Italy,0.310726515145442
JAM,Jamaica,0.098878064992312
JOR,Jordan,0.339527884281309
JPN,Japan,0.324809657433815
KAZ,Kazakhstan,0.277452361247708
KEN,Kenya,0.508943322148621
KGZ,Kyrgyzstan,0.282030159558624
KHM,Cambodia,0.344703488136705
KIR,Kiribati,0.273748584235125
KNA,Saint Kitts and Nevis,0.217646004190015
KOR,"Korea, Republic of",0.301367118071535
KWT,Kuwait,0.282224080585237
LAO,Lao People's Democratic Republic,0.234133107237347
LBN,Lebanon,
LBR,Liberia,0.495917230019952
LBY,Libyan Arab Jamahiriya,0.249543081921149
LCA,Saint Lucia,0.223448296055684
LIE,Liechtenstein,0.177337230449823
LKA,Sri Lanka,0.424632790186968
LSO,Lesotho,0.221786923760492
LTU,Lithuania,0.264154316342881
LUX,Luxembourg,0.20713578549282
LVA,Latvia,0.28079493803965
MAC,Macau,0.283866051831307
MAR,Morocco,
MCO,Monaco,0.131903037999846
MDA,Republic of Moldova,0.251581589064178
MDG,Madagascar,0.296411067594059
MDV,Maldives,
MEX,Mexico,0.224192427807272
MHL,Marshall Islands,0.04209224938961
MKD,The former Yugoslav Republic of Macedonia,0.286580177681898
MLI,Mali,0.497805344919565
MLT,Malta,0.143013467830415
MMR,Burma,0.316189849019008
MNE,Montenegro,
MNG,Mongolia,0.230205423814815
MOZ,Mozambique,0.33623561077585
MRT,Mauritania,0.460974853219731
MSR,Montserrat,
MUS,Mauritius,0.262939822358766
MWI,Malawi,0.408320414146773
MYS,Malaysia,0.34291186572313
NAM,Namibia,0.396879917087382
NCL,New Caledonia,0.253918678276585
NER,Niger,0.465737296531777
NGA,Nigeria,0.416943135775881
NIC,Nicaragua,0.338719291557347
NLD,Netherlands,0.297541327458422
NOR,Norway,0.281107044081574
NPL,Nepal,0.404102515899889
NZL,New Zealand,0.272141455890389
OMN,Oman,0.422918248517587
PAK,Pakistan,
PAN,Panama,0.305566398005713
PER,Peru,0.261420723240901
PHL,Philippines,0.141358617799278
PLW,Palau,0.277767352346593
PNG,Papua New Guinea,0.209137738966175
POL,Poland,0.231312505225692
PRI,Puerto Rico,0.124126895991523
PRK,"Korea, Democratic People's Republic of",
PRT,Portugal,0.362970197856858
PRY,Paraguay,0.279060032335978
PSE,Palestine,0.181852323986282
PYF,French Polynesia,0.114757527770039
QAT,Qatar,0.339939189883261
ROU,Romania,0.23731173512565
RUS,Russia,0.272865835396272
RWA,Rwanda,0.548453238611224
SAU,Saudi Arabia,0.405488939844717
SDN,Sudan,0.496128610580755
SEN,Senegal,0.433371546187412
SGP,Singapore,0.307655910485188
SLB,Solomon Islands,0.391629043958706
SLE,Sierra Leone,0.533644568854727
SLV,El Salvador,0.328952108858962
SMR,San Marino,0.206939905081568
SOM,Somalia,
SRB,Serbia,
STP,Sao Tome and Principe,0.390610735069328
SUR,Suriname,0.269074288011157
SVK,Slovakia,0.199577252531684
SVN,Slovenia,0.212956430991938
SWE,Sweden,0.250934442576076
SWZ,Swaziland,0.354095241783799
SYC,Seychelles,
SYR,Syrian Arab Republic,0.243968755420355
TCD,Chad,0.456711316249078
TGO,Togo,0.425498152985563
THA,Thailand,0.328268986447698
TJK,Tajikistan,0.334604723076956
TKM,Turkmenistan,0.271928313879842
TLS,Timor-Leste,0.305180838961657
TON,Tonga,0.113130898542237
TTO,Trinidad and Tobago,0.279284345093742
TUN,Tunisia,0.226640940390262
TUR,Turkey,0.198812672187776
TWN,Taiwan,
TZA,United Republic of Tanzania,0.506309019780442
UGA,Uganda,0.518447609593101
UKR,Ukraine,0.271335941497789
URY,Uruguay,0.24595983561268
USA,United States,0.309066624319766
UZB,Uzbekistan,0.224501643247332
VCT,Saint Vincent and the Grenadines,0.248345895091317
VEN,Venezuela,0.282760197105142
VNM,Viet Nam,0.191493326345238
VUT,Vanuatu,0.334830042329652
WLF,Wallis and Futuna Islands,
YEM,Yemen,0.306067665809662
ZAF,South Africa,0.477663436195846
ZMB,Zambia,0.450016292098796
ZWE,Zimbabwe,0.420129117306119
